request_count,session_duration,failed_login_attempts,typing_speed,mouse_movement,label
2,124.28914461605524,0,314.9860328512815,0.7569735044151621,0
7,135.89630285791014,3,235.6523750898588,0.5488722900473564,1
36,73.31652320038934,6,280.504235133647,0.24126536343336139,1
2,111.69839420070387,0,241.52097405470676,0.7376490270611256,0
23,16.898810705766916,3,297.75035618454115,0.21111755597422588,1
5,140.45341358379784,0,441.29072106660584,0.8060294930169832,0
6,111.54067483288401,0,171.72511935572652,1.0,0
1,111.13690289428007,0,215.46152392276028,0.8230198366738579,0
5,158.22275763312845,6,151.4915784665588,0.8102711605288331,1
5,149.17959332128456,1,314.0192229126856,0.8437396693114146,0
2,104.61376214717616,0,190.95932630936287,0.8621855441255154,0
21,60.17448789128478,3,175.37746908462032,0.4768954114208502,1
3,118.2755345895116,0,301.6644469671433,1.0,0
10,152.83926349687863,0,385.3873098255014,1.0,0
4,69.04337923035979,0,286.31208799561375,0.6170309447934426,0
3,71.83290920928181,0,175.17612380551944,0.9035118428890953,0
4,138.64602869593404,0,218.85171262841328,1.0,0
17,52.785798098111826,8,278.50075883035447,0.41707437560302996,1
17,78.0868417285419,6,272.9465395077977,0.5319837324671522,1
6,92.53665374408631,0,149.38882172437403,0.8427722401846686,0
3,121.37286379513068,0,223.55951170692344,0.7596400490612285,0
3,22.38440625183582,0,362.5119172398325,0.8267135276914341,0
9,128.50875357211677,0,304.3565813984226,0.9009958357002584,0
17,63.881998196580696,1,283.1893928965004,0.388907229016409,1
12,126.08380506875915,9,158.45947556330816,0.5918072932779147,1
5,228.1592999021904,0,70.31579502726782,1.0,0
7,193.59047360479292,0,304.2166012903609,0.8199983362324769,0
6,152.86112473542494,1,297.64245377006773,0.8059232523220594,0
7,135.5291553229863,0,266.8201547370511,0.7656113453941328,0
5,182.79740091388788,0,338.53180174729044,1.0,0
7,78.2787315604209,0,356.56304360074324,1.0,0
17,57.03669074317503,1,175.3725853498931,0.5729962892569164,1
3,84.29778961190195,0,245.99953206058132,0.7186062482250004,0
5,192.46707914240716,0,108.88906511363447,0.8832388378854699,0
5,57.24424011616708,0,281.04696349354697,0.8772538104276478,0
7,122.63656892759664,1,275.89940326628295,0.756034917807696,0
3,155.6400414318693,0,260.6891836505617,1.0,0
3,120.82286008371928,1,201.7178716784204,0.7652877813290757,0
5,124.91091240454364,6,271.58203007203565,0.6086994078391763,1
11,118.52887814730099,0,231.9958282108699,1.0,0
2,97.67464652719936,0,377.34844796866247,1.0,0
6,133.93795828943266,0,316.7096955252516,0.7327143223180834,0
3,81.56911052965164,0,196.07636220014749,1.0,0
2,131.51638027345328,0,239.993849697405,0.7451833854309549,0
1,167.63037645077492,1,268.82965279826243,0.6792753692134942,0
3,60.597383897387154,0,229.27291773855507,0.8769684687773456,0
26,53.97159157738562,7,189.92598045455514,0.4651567219704417,1
4,99.27964907833628,0,299.04277165072136,0.8080711407548774,0
7,143.8811614744426,0,242.26907366564797,0.6480532204617147,0
30,38.32694183572201,9,175.29917005024305,0.20060261179263866,1
7,77.02565725716136,0,189.3410758828345,1.0,0
28,40.35032862002037,7,123.3023902347045,0.12155618059393675,1
6,63.49879476013722,0,350.273618876866,0.8496179860527007,0
114,25.160263787813115,1,162.66943147507314,0.008948029815358716,1
4,132.43916544742754,1,262.8426591106818,0.7649671914034438,0
58,44.46871088109761,1,191.78231917496893,0.15513142601383426,1
124,10.759812040180332,3,157.33129138204544,0.0,1
3,106.37719385214642,0,285.10163214145496,0.8975003869266125,0
8,83.0204649154692,0,156.87174388511738,0.9983962992580934,0
60,20.009953323433095,1,167.43254797770138,0.0,1
7,81.38431851648349,0,378.044966458573,0.9859694087772014,0
7,182.59430366275075,0,216.4655054104498,0.8256690263135918,0
10,115.67021511166841,1,264.45414471713326,0.8800923352052202,0
5,105.14875975093285,0,291.6236434396678,0.8954677898322273,0
3,157.84810254151316,1,133.33715940857093,0.9684733118465412,0
9,105.0334142408,1,188.9277460795962,0.7563813060557067,0
2,153.7632652276519,0,138.88233648032622,0.8013413716140392,0
3,91.43537747798457,5,340.8483637623681,0.5253932278804527,1
6,70.2703436917056,1,96.5391138077959,0.9702178411904385,0
17,44.67021056198876,4,294.6617598431708,0.49890026865862436,1
7,151.64651963505295,0,239.7974477716537,0.8471105114563325,0
109,21.16662635611799,1,163.61253666914405,0.0,1
33,5.0,9,152.1522340455098,0.5361067215858611,1
3,88.14393749630977,0,256.3547893716249,0.899679155183089,0
6,167.61304805625565,0,218.60043119478945,0.8643258865735557,0
9,89.85298531820287,0,134.6907781065835,0.9895260870073886,0
17,19.743028604961157,5,350.96382915113185,0.439811593449459,1
4,50.479852021802685,2,124.03080684805722,0.7074277046677411,0
36,39.67449351386537,6,212.60520512270472,0.385735741949212,1
5,143.54490392753368,0,143.61792026819901,0.8941079776461872,0
5,114.90843685243581,1,214.95938254406005,0.6949775090310304,0
5,138.772564581814,0,217.2308754006055,0.7537266428509246,0
2,82.07737601041347,0,364.2809286756757,0.732498034458644,0
138,20.80324991689482,4,240.5925478145137,0.12899731412217608,1
132,19.840046817699026,4,138.1193671646529,0.0,1
35,52.2250967948625,7,185.81911525447688,0.1095973806552343,1
